time	V(vout)
Step Information: Run=0  (Run: 1/129)
1.114849564364185e+000	3.106267e+000
1.190349564364009e+000	3.106080e+000
1.217249564363947e+000	3.105823e+000
1.252949564363863e+000	3.104873e+000
1.277549564363806e+000	3.102081e+000
1.283949564363791e+000	3.096714e+000
1.284049564363791e+000	3.095953e+000
1.284062064363791e+000	3.095810e+000
1.284087064363792e+000	3.095422e+000
1.284136283113792e+000	3.091098e+000
1.284144191000795e+000	3.082479e+000
1.284145351521698e+000	3.074832e+000
1.284146014676498e+000	3.063381e+000
1.284146123504904e+000	3.059338e+000
1.284146341161719e+000	3.045482e+000
1.284146395575924e+000	3.038952e+000
1.284146504404330e+000	3.018271e+000
1.284146524639056e+000	3.012045e+000
1.284146565108507e+000	2.991138e+000
1.284146612755951e+000	2.947237e+000
1.284146657262330e+000	2.862456e+000
1.284146709892983e+000	2.683639e+000
1.284146758099126e+000	2.451061e+000
1.284146812787064e+000	2.143679e+000
1.284146876293210e+000	1.762861e+000
1.284146959979911e+000	1.223098e+000
1.284147062770796e+000	5.305651e-001
1.284147107907735e+000	2.331195e-001
1.284147134036289e+000	7.931068e-002
1.284147145786271e+000	2.803103e-002
1.284147151396049e+000	1.460343e-002
1.284147157356234e+000	7.978953e-003
1.284147159968967e+000	6.385196e-003
1.284147163480494e+000	5.106111e-003
1.284147166899782e+000	4.242874e-003
1.284147171048645e+000	3.535845e-003
1.284147176713592e+000	2.892528e-003
1.284147183059766e+000	2.428792e-003
1.284147193140086e+000	1.975900e-003
1.284147203967443e+000	1.687518e-003
1.284147225622153e+000	1.368286e-003
1.284147245161446e+000	1.206683e-003
1.284147284240031e+000	1.042937e-003
1.284147328865018e+000	9.441750e-004
1.284147418114987e+000	8.514339e-004
1.284147524658565e+000	7.980797e-004
1.284147737745720e+000	7.544321e-004
1.284148140730562e+000	7.221240e-004
1.284150558639620e+000	6.891327e-004
1.284153782518363e+000	6.835619e-004
1.284160230275848e+000	6.815725e-004
1.314150498880576e+000	6.811935e-004
1.359250498880471e+000	6.801056e-004
1.404350498880365e+000	6.791611e-004
1.416550498880337e+000	6.789276e-004
1.461650498880232e+000	6.781383e-004
1.506750498880127e+000	6.774529e-004
1.518950498880098e+000	6.772836e-004
1.564150498879993e+000	6.767109e-004
1.609350498879888e+000	6.762296e-004
1.621350498879860e+000	6.761253e-004
1.666550498879754e+000	6.760022e-004
1.703050498879669e+000	6.770908e-004
1.723750498879621e+000	6.796705e-004
1.743450498879575e+000	6.892682e-004
1.752450498879554e+000	7.221734e-004
1.753650498879551e+000	7.519320e-004
1.754050498879550e+000	7.800303e-004
1.754250498879550e+000	8.102899e-004
1.754350498879550e+000	8.393068e-004
1.754450498879550e+000	9.257763e-004
1.754550498879549e+000	1.170189e-003
1.754562998879550e+000	1.290682e-003
1.754566123879549e+000	1.392078e-003
1.754572373879547e+000	1.764964e-003
1.754573100113845e+000	1.869085e-003
1.754574552582440e+000	2.238637e-003
1.754574915699589e+000	2.415360e-003
1.754575641933887e+000	2.987017e-003
1.754575783809038e+000	3.181230e-003
1.754576067559341e+000	3.769026e-003
1.754576138496919e+000	3.990240e-003
1.754576280372071e+000	4.633042e-003
1.754576367643608e+000	5.250217e-003
1.754576483924186e+000	6.461249e-003
1.754576505187128e+000	6.792755e-003
1.754576547713011e+000	7.768780e-003
1.754576596070272e+000	9.417873e-003
1.754576637899611e+000	1.175174e-002
1.754576669245466e+000	1.473041e-002
1.754576693338109e+000	1.864824e-002
1.754576712970213e+000	2.409936e-002
1.754576729918068e+000	3.217780e-002
1.754576745212070e+000	4.483187e-002
1.754576759819937e+000	6.633088e-002
1.754576776133725e+000	1.070104e-001
1.754576791496561e+000	1.672210e-001
1.754576812839794e+000	2.807397e-001
1.754576835097176e+000	4.193932e-001
1.754576861608474e+000	5.962372e-001
1.754576895943043e+000	8.302160e-001
1.754576964346249e+000	1.286751e+000
1.754577068400245e+000	1.936729e+000
1.754577175538493e+000	2.543012e+000
1.754577232136121e+000	2.799741e+000
1.754577274179340e+000	2.920030e+000
1.754577326893227e+000	3.000966e+000
1.754577359660104e+000	3.027924e+000
1.754577403650142e+000	3.047482e+000
1.754577451306961e+000	3.060543e+000
1.754577520493299e+000	3.071951e+000
1.754577604144419e+000	3.080260e+000
1.754577725349403e+000	3.087228e+000
1.754577884445734e+000	3.092467e+000
1.754578115477813e+000	3.096650e+000
1.754578445835936e+000	3.099837e+000
1.754579805001434e+000	3.104028e+000
1.754581529550180e+000	3.105344e+000
1.754584978647671e+000	3.106051e+000
1.754591876842650e+000	3.106266e+000
1.779288451572306e+000	3.106277e+000
1.808288451572238e+000	3.106277e+000
1.821088451572209e+000	3.106277e+000
1.856888451572125e+000	3.106278e+000
1.898188451572029e+000	3.106279e+000
1.923488451571970e+000	3.106280e+000
1.974888451571850e+000	3.106281e+000
2.025888451571731e+000	3.106281e+000
2.093588451571574e+000	3.106282e+000
2.128288451571493e+000	3.106280e+000
2.203488451571317e+000	3.106239e+000
2.230688451571254e+000	3.106174e+000
2.279588451571140e+000	3.105788e+000
2.314688451571058e+000	3.104782e+000
2.333088451571015e+000	3.103059e+000
2.343888451570990e+000	3.096713e+000
2.343988451570990e+000	3.095972e+000
2.344000951570990e+000	3.095824e+000
2.344025951570991e+000	3.095419e+000
2.344075170320991e+000	3.090571e+000
2.344082283783870e+000	3.081650e+000
2.344083517302273e+000	3.072357e+000
2.344084010709633e+000	3.061458e+000
2.344084109317176e+000	3.057108e+000
2.344084306532267e+000	3.042740e+000
2.344084349874095e+000	3.037191e+000
2.344084436557747e+000	3.018504e+000
2.344084491501643e+000	2.997116e+000
2.344084544344369e+000	2.955940e+000
2.344084588347304e+000	2.884324e+000
2.344084634165291e+000	2.745673e+000
2.344084681981819e+000	2.529862e+000
2.344084735052437e+000	2.238977e+000
2.344084797560690e+000	1.869573e+000
2.344084874255824e+000	1.384055e+000
2.344085027646095e+000	3.687914e-001
2.344085078958784e+000	4.506566e-002
2.344085080117793e+000	3.939646e-002
2.344085082435814e+000	3.157973e-002
2.344085087071854e+000	1.951678e-002
2.344085090242221e+000	1.378593e-002
2.344085093906504e+000	9.613292e-003
2.344085096634327e+000	7.587027e-003
2.344085100045991e+000	5.962912e-003
2.344085104247402e+000	4.642976e-003
2.344085108535833e+000	3.777927e-003
2.344085114657144e+000	3.004346e-003
2.344085121532121e+000	2.465383e-003
2.344085131528637e+000	1.999594e-003
2.344085143281525e+000	1.678472e-003
2.344085161480866e+000	1.400580e-003
2.344085184058407e+000	1.210745e-003
2.344085220771294e+000	1.050671e-003
2.344085269378542e+000	9.426087e-004
2.344085353091089e+000	8.544110e-004
2.344085471532054e+000	7.965869e-004
2.344085691200586e+000	7.513338e-004
2.344086023282554e+000	7.232922e-004
2.344087979945627e+000	6.910940e-004
2.344090564943901e+000	6.846930e-004
2.344095734940446e+000	6.822816e-004
2.344106074933539e+000	6.817780e-004
2.389250834836734e+000	6.808105e-004
2.429950834836639e+000	6.798679e-004
2.475050834836534e+000	6.789547e-004
2.499950834836476e+000	6.785031e-004
2.500000000000000e+000	6.785027e-004
Step Information: Run=78  (Run: 79/129)
0.000000000000000e+000	3.106295e+000
9.999999999621423e-006	3.106289e+000
2.999999999886427e-005	3.106285e+000
3.804999999990955e-002	3.106286e+000
8.184999999980747e-002	3.106287e+000
1.019499999997606e-001	3.106287e+000
1.556499999996355e-001	3.106288e+000
2.043499999995220e-001	3.106289e+000
2.695499999993700e-001	3.106282e+000
3.067499999992833e-001	3.106253e+000
3.640499999991498e-001	3.106008e+000
4.003499999990652e-001	3.105345e+000
4.091499999990447e-001	3.104999e+000
4.327499999989897e-001	3.102466e+000
4.400624999989731e-001	3.095342e+000
4.401171874989700e-001	3.088949e+000
4.401216796864702e-001	3.079611e+000
4.401226562489704e-001	3.069794e+000
4.401230468739712e-001	3.058749e+000
4.401231445302223e-001	3.053017e+000
4.401233398427209e-001	3.033805e+000
4.401233711171706e-001	3.028265e+000
4.401234336660700e-001	3.009157e+000
4.401234860343095e-001	2.980824e+000
4.401235325165125e-001	2.930047e+000
4.401235757561395e-001	2.833829e+000
4.401236264616415e-001	2.642235e+000
4.401236801674031e-001	2.368746e+000
4.401237408297654e-001	2.022682e+000
4.401238067820614e-001	1.622802e+000
4.401238839455530e-001	1.115286e+000
4.401239622450710e-001	5.859376e-001
4.401240340091590e-001	1.396959e-001
4.401240614664701e-001	1.644921e-002
4.401240665248096e-001	6.887764e-003
4.401240696922955e-001	5.490719e-003
4.401240737964436e-001	4.348336e-003
4.401240770076242e-001	3.726874e-003
4.401240804654023e-001	3.246804e-003
4.401240845461913e-001	2.830982e-003
4.401240887485542e-001	2.515239e-003
4.401240951147578e-001	2.173302e-003
4.401241013357407e-001	1.938136e-003
4.401241126914499e-001	1.652506e-003
4.401241232528044e-001	1.478339e-003
4.401241443755133e-001	1.267669e-003
4.401241643077931e-001	1.146339e-003
4.401242041723528e-001	1.014143e-003
4.401242518513477e-001	9.273546e-004
4.401243472093412e-001	8.472280e-004
4.401245144153272e-001	7.858197e-004
4.401248488273026e-001	7.418363e-004
4.401255176512500e-001	7.134075e-004
4.401268552991446e-001	6.978212e-004
4.401295305949340e-001	6.904171e-004
4.401348811865127e-001	6.878412e-004
4.401455823696736e-001	6.872865e-004
4.809953989338140e-001	6.863915e-004
5.062953989337551e-001	6.857299e-004
5.470953989336600e-001	6.847777e-004
5.878953989335649e-001	6.839511e-004
6.086953989335164e-001	6.835725e-004
6.494953989334213e-001	6.829046e-004
6.903953989333260e-001	6.823244e-004
7.110953989332778e-001	6.820635e-004
7.519953989331825e-001	6.816445e-004
7.928953989330871e-001	6.816823e-004
8.134953989330391e-001	6.824021e-004
8.364953989329855e-001	6.853513e-004
8.540953989329445e-001	6.951856e-004
8.619953989329261e-001	7.280129e-004
8.630953989329235e-001	7.589916e-004
8.634953989329226e-001	7.939234e-004
8.635953989329224e-001	8.116777e-004
8.636953989329221e-001	8.413297e-004
8.637953989329219e-001	8.903423e-004
8.638078989329223e-001	8.984396e-004
8.638328989329231e-001	9.286663e-004
8.638828989329248e-001	1.038432e-003
8.638953989329252e-001	1.088657e-003
8.638985239329244e-001	1.109125e-003
8.639047739329229e-001	1.186522e-003
8.639172739329233e-001	1.460725e-003
8.639193790987676e-001	1.554319e-003
8.639199053902296e-001	1.592973e-003
8.639209579731535e-001	1.714651e-003
8.639230631389978e-001	2.083116e-003
8.639235167793800e-001	2.247053e-003
8.639244240601478e-001	2.795029e-003
8.639245969761227e-001	2.983897e-003
8.639249428080760e-001	3.568404e-003
8.639250292660634e-001	3.795705e-003
8.639252021820383e-001	4.439524e-003
8.639252454110320e-001	4.665787e-003
8.639253318690194e-001	5.330259e-003
8.639254276150084e-001	6.409129e-003
8.639254884165304e-001	7.498868e-003
8.639255366830838e-001	8.875962e-003
8.639255733808540e-001	1.052557e-002
8.639256042709249e-001	1.273533e-002
8.639256304846192e-001	1.577424e-002
